,MaxDelqEver_2.0,MaxDelqEver_3.0,MaxDelqEver_4.0,MaxDelqEver_5.0,MaxDelqEver_6.0,MaxDelqEver_7.0,MaxDelqEver_8.0,MaxDelq2PublicRecLast12M_0.0,MaxDelq2PublicRecLast12M_1.0,MaxDelq2PublicRecLast12M_2.0,MaxDelq2PublicRecLast12M_3.0,MaxDelq2PublicRecLast12M_4.0,MaxDelq2PublicRecLast12M_5.0,MaxDelq2PublicRecLast12M_6.0,MaxDelq2PublicRecLast12M_7.0,MaxDelq2PublicRecLast12M_9.0,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,163.63817,-168.89798,-22.820454,29.677689,-137.1788,533.2207,-206.98534,-18.365843,564.9374,-747.78253,-29.301502,-128.89394,-192.57901,24.071209,-37.35751,4.6188207,-230.34946,-82.53672,-77.62904,-0.0,-672.85864
1,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-319.7751,-0.0,51.160347,0.0,0.0,-72.89846,-63.841267,-13.744369,13.289976,-0.0,315.36093,-120.310814,-16.079756,-185.20833,-436.28232,-14.43204,-200.38393,-0.0,-24.10264,-45.094467,223.49675,-68.787735,-604.20026,208.73665,-0.0,-629.009
2,-0.0,-0.0,-0.0,-0.0,71.41083,0.0,136.39456,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,21.980053,123.13996,0.0,-3.5527349,-11.86388,-90.55723,-1.9323933,-44.095314,313.21124,50.71872,-8.155059,13.238435,-321.22318,1.3128816,66.70069,-0.0,-22.428223,48.822567,-0.0,-14.307147,-46.184975,-104.333015,-0.0,-133.1574
3,-138.13507,0.0,-0.0,-0.0,116.37152,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,94.26538,-392.25815,-67.12824,-55.780407,1.7192856,177.98282,-116.96202,-28.834373,298.85843,-782.88306,-0.0,45.70296,-174.66292,-43.8007,24.171621,-146.17734,-46.69854,29.524355,-135.40016,-0.0,-387.30405
4,-0.0,-0.0,-0.0,-0.0,242.68925,0.0,136.66705,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-65.14311,-221.41965,-25.665878,1.6255845,-41.126507,368.60272,-271.52423,8.998969,59.44645,-862.47296,18.525982,-5.76715,-0.0,-9.34067,-46.057617,39.906166,-151.23634,-76.18798,-272.69324,-0.0,-401.25528
5,-0.0,-0.0,-0.0,-0.0,27.617455,0.0,113.25201,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-34.263115,124.98744,0.0,31.037474,3.17526,-1.4761229,12.523355,-6.3574505,109.09242,99.3333,3.0147333,-1.7401978,-98.58834,-145.53113,-40.29129,-0.0,-19.67193,30.85843,25.527838,21.741526,-14.83836,-7.1254535,-0.0,26.419481
6,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,104.47876,-231.63951,-0.0,8.012019,-78.431816,215.87791,-248.20908,-5.8191633,300.55698,-860.8834,33.136063,3.5914838,-0.0,53.065987,-27.705658,8.267205,3.7575395,0.9618096,-54.667904,-176.0982,-7.606525
7,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,28.271046,83.89142,-22.084745,-8.641949,-8.325505,141.71342,65.45744,-2.265434,-29.250196,-158.17667,39.026894,-27.132923,-0.0,-27.245962,34.13216,31.27961,-71.04913,34.0209,3.5536864,-12.386892,33.684002
8,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,36.342327,-203.01114,-178.85814,32.74133,-60.004566,516.1817,-239.03032,175.26492,41.860718,-740.9744,25.994183,-69.021576,-0.0,0.0,-0.0,165.3622,3.1200166,-25.664682,0.0,-35.825783,-435.78705
9,-0.0,-0.0,-0.0,-0.0,16.754303,-0.0,95.75798,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-45.76246,118.69516,0.0,41.950497,-23.076372,2.5717702,-0.9373704,8.779347,36.238697,136.75902,-0.17451088,-4.4053397,-166.18088,42.055614,88.74087,-0.0,-23.756811,19.775938,-50.610477,-55.274868,16.446783,34.754173,-18.201273,-19.763931
